epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4657.61,1.07675,0.98926,1.25602,0.65209,0.43738,0.46276,0.3256,1.70717,2.03164,1.98741,0.004918,0.004918,0.004918
79,4716,1.08146,1.0047,1.25767,0.65117,0.43832,0.46352,0.32533,1.7054,2.02557,1.9844,0.004852,0.004852,0.004852
80,4774.65,1.07165,0.98564,1.24975,0.65464,0.43914,0.46649,0.32778,1.71113,2.02645,1.99203,0.004786,0.004786,0.004786
81,4833.32,1.06504,0.9837,1.24881,0.64799,0.44584,0.4673,0.32736,1.70995,2.03137,1.99001,0.00472,0.00472,0.00472
82,4891.85,1.06901,0.98553,1.24988,0.64739,0.44676,0.46763,0.32762,1.71464,2.04215,1.99387,0.004654,0.004654,0.004654
83,4950.28,1.06067,0.97776,1.24489,0.65629,0.43926,0.46785,0.32744,1.71025,2.03822,1.99325,0.004588,0.004588,0.004588
84,5008.84,1.06204,0.97326,1.24714,0.65658,0.44071,0.46726,0.32787,1.71157,2.03724,1.99296,0.004522,0.004522,0.004522
85,5067.19,1.05602,0.97519,1.24499,0.65664,0.44081,0.46774,0.32789,1.70992,2.03204,1.99008,0.004456,0.004456,0.004456
86,5125.68,1.05381,0.96927,1.24338,0.64893,0.44595,0.46736,0.32849,1.71421,2.03346,1.98945,0.00439,0.00439,0.00439
87,5184.27,1.04764,0.96459,1.23741,0.64767,0.44781,0.46758,0.32772,1.71594,2.02974,1.99166,0.004324,0.004324,0.004324
88,5242.65,1.04734,0.95814,1.24059,0.64333,0.44771,0.46771,0.3282,1.71207,2.02535,1.98784,0.004258,0.004258,0.004258
89,5301.2,1.04612,0.9589,1.23829,0.65584,0.44033,0.46817,0.3293,1.71617,2.02891,1.99471,0.004192,0.004192,0.004192
90,5359.65,1.04538,0.95032,1.23139,0.66431,0.43087,0.46801,0.33038,1.71541,2.02691,1.99523,0.004126,0.004126,0.004126
91,5417.8,1.03358,0.9506,1.23129,0.66246,0.43286,0.46919,0.33122,1.71743,2.02691,2.00174,0.00406,0.00406,0.00406
92,5476.39,1.04276,0.95425,1.23396,0.65494,0.43742,0.46983,0.33176,1.71733,2.02719,2.00457,0.003994,0.003994,0.003994
93,5535.24,1.03134,0.94139,1.22961,0.63521,0.45053,0.46997,0.33274,1.71663,2.03056,2.00888,0.003928,0.003928,0.003928
94,5593.81,1.0289,0.93806,1.23002,0.63939,0.4512,0.47093,0.33309,1.71554,2.02502,2.01136,0.003862,0.003862,0.003862
95,5652.32,1.01983,0.93515,1.2217,0.64217,0.45079,0.47104,0.33337,1.71632,2.0206,2.01486,0.003796,0.003796,0.003796
96,5711,1.03331,0.94155,1.22908,0.64155,0.45427,0.47201,0.33319,1.7171,2.02039,2.01874,0.00373,0.00373,0.00373
97,5769.24,1.01521,0.92958,1.21998,0.63853,0.45576,0.47121,0.33277,1.71492,2.02272,2.01868,0.003664,0.003664,0.003664
98,5827.72,1.02078,0.92232,1.22435,0.63726,0.45806,0.47181,0.33282,1.71462,2.02156,2.0192,0.003598,0.003598,0.003598
99,5886.49,1.0163,0.92071,1.21748,0.63853,0.45724,0.47109,0.33299,1.71333,2.02249,2.01776,0.003532,0.003532,0.003532
100,5944.91,1.01819,0.92007,1.2186,0.63908,0.45653,0.47143,0.33308,1.71274,2.02215,2.01658,0.003466,0.003466,0.003466
101,6003.59,1.0103,0.905,1.21312,0.64164,0.45454,0.47134,0.33283,1.71271,2.02035,2.01705,0.0034,0.0034,0.0034
102,6061.93,1.00319,0.90897,1.21479,0.64026,0.45509,0.47186,0.33292,1.71175,2.01681,2.01658,0.003334,0.003334,0.003334
